date,total_wallets_per_cohort_t,weighted_retention_rate,cohort,total_wallets_per_cohort,month_1_retention,month_2_retention,month_3_retention,month_4_retention,month_5_retention,month_6_retention,month_7_retention,month_8_retention,month_9_retention,month_10_retention,month_11_retention,month_12_retention
March 03 2025,464,0.6324325817860301,2025-03-03 00:00:00.000 UTC,464,0.8900862068965517,0.8168103448275862,0.7672413793103449,0.7025862068965517,0.6702586206896551,0.6443965517241379,0.6422413793103449,0.6228448275862069,0.6357758620689655,0.6142241379310345,0.5732758620689655,0.5689655172413793
February 24 2025,521,0.619961612284069,2025-02-24 00:00:00.000 UTC,521,0.9021113243761996,0.800383877159309,0.7869481765834933,0.7408829174664108,0.6852207293666027,0.6218809980806143,0.6007677543186181,0.6295585412667947,0.6122840690978887,0.6065259117082533,0.5508637236084453,0.5412667946257198
February 17 2025,834,0.6084363278607884,2025-02-17 00:00:00.000 UTC,834,0.8693045563549161,0.8033573141486811,0.7386091127098321,0.7314148681055156,0.7254196642685852,0.6726618705035972,0.6019184652278178,0.5971223021582733,0.6330935251798561,0.5995203836930456,0.5635491606714629,0.4412470023980815
February 10 2025,862,0.5746326372776489,2025-02-10 00:00:00.000 UTC,862,0.8979118329466357,0.7819025522041764,0.740139211136891,0.679814385150812,0.648491879350348,0.62877030162413,0.5974477958236659,0.5672853828306265,0.5568445475638051,0.5452436194895591,0.4872389791183295,0.48839907192575405
February 03 2025,1097,0.6325175887618915,2025-02-03 00:00:00.000 UTC,1097,0.9489516864175023,0.8113035551504102,0.7484047402005469,0.7101185050136737,0.6809480401093893,0.6736554238833181,0.6599817684594348,0.6298997265268915,0.5989061075660893,0.585232452142206,0.5834092980856882,0.5761166818596172
January 27 2025,2060,0.557294000497884,2025-01-27 00:00:00.000 UTC,2060,0.8645631067961165,0.829611650485437,0.7572815533980582,0.6684466019417475,0.6349514563106796,0.5980582524271845,0.5776699029126213,0.5548543689320389,0.5111650485436893,0.49029126213592233,0.487378640776699,0.49077669902912624
January 20 2025,1374,0.49359907438510064,2025-01-20 00:00:00.000 UTC,1374,0.7125181950509462,0.665938864628821,0.6433770014556041,0.611353711790393,0.5771470160116449,0.5596797671033479,0.5320232896652111,0.5232896652110626,0.5109170305676856,0.4359534206695779,0.3937409024745269,0.3864628820960699
January 13 2025,4507,0.5137080211409033,2025-01-13 00:00:00.000 UTC,4507,0.9793654315509208,0.9167960949633903,0.864211226980253,0.8524517417350788,0.6015087641446638,0.5282893277124473,0.5098735300643443,0.4734856889283337,0.46483248280452627,0.4370978477923231,0.40936321278011983,0.38850676725094296
January 06 2025,2994,0.6694500111333779,2025-01-06 00:00:00.000 UTC,2994,0.845691382765531,0.8336673346693386,0.8032732130928524,0.7541750167000668,0.738810955243821,0.7187708750835003,0.6907147628590514,0.6636606546426186,0.6442885771543087,0.6275885103540414,0.6172344689378757,0.6052104208416834
December 30 2024,3029,0.528057834099432,2024-12-30 00:00:00.000 UTC,3029,0.9379333113238693,0.8857708814790359,0.8722350610762628,0.8111587982832618,0.751733245295477,0.7312644437107957,0.5714757345658633,0.49686365137008914,0.4470122152525586,0.38560581049851433,0.3799933971607791,0.36975899636843845
December 23 2024,2683,0.6298919120387627,2024-12-23 00:00:00.000 UTC,2683,0.9496831904584421,0.9116660454714871,0.8729034662691018,0.8449496831904585,0.7897875512486023,0.7070443533358182,0.6835631755497578,0.6164740961610138,0.5747297800969065,0.5423033917256802,0.519194931047335,0.5121133060007454
December 16 2024,2377,0.443685749112758,2024-12-16 00:00:00.000 UTC,2377,0.6133782078249895,0.580143037442154,0.5675220866638621,0.5536390408077408,0.5586874211190577,0.4909549852755574,0.4724442574673959,0.4627681952040387,0.41607067732435843,0.3937736642827093,0.37904922170803534,0.359697097181321
December 09 2024,1938,0.6000171998624011,2024-12-09 00:00:00.000 UTC,1938,0.8591331269349846,0.7776057791537667,0.7585139318885449,0.7409700722394221,0.7033023735810113,0.6878224974200207,0.6341589267285862,0.6062951496388029,0.5856553147574819,0.5485036119711042,0.5041279669762642,0.49277605779153766
December 02 2024,2053,0.44214220590255665,2024-12-02 00:00:00.000 UTC,2053,0.901607403799318,0.7959084266926449,0.5133950316609839,0.5007306380905991,0.48563078421821726,0.4719922065270336,0.4695567462250365,0.4310764734534827,0.415002435460302,0.40818314661471017,0.3867510959571359,0.3653190452995616
November 25 2024,1721,0.49278147767398195,2024-11-25 00:00:00.000 UTC,1721,0.9535153980244044,0.8965717606042998,0.6658919233004067,0.5339918651946542,0.5421266705403835,0.5031958163858222,0.5014526438117374,0.5479372457873329,0.4694944799535154,0.431725740848344,0.41313190005810574,0.40383497966298665
November 18 2024,1676,0.423390551373845,2024-11-18 00:00:00.000 UTC,1676,0.6420047732696897,0.6676610978520287,0.6372315035799523,0.619928400954654,0.4743436754176611,0.45823389021479716,0.42422434367541767,0.44331742243436756,0.43914081145584727,0.3532219570405728,0.3347255369928401,0.32100238663484487
November 11 2024,1282,0.5360914436577463,2024-11-11 00:00:00.000 UTC,1282,0.9126365054602185,0.8611544461778471,0.828393135725429,0.7215288611544461,0.7098283931357254,0.5374414976599063,0.5195007800312013,0.5140405616224649,0.5078003120124805,0.500780031201248,0.45709828393135726,0.39001560062402496
November 04 2024,2541,0.6062170153079243,2024-11-04 00:00:00.000 UTC,2541,0.918142463597009,0.9020070838252656,0.8457300275482094,0.8162140889413617,0.768595041322314,0.695789059425423,0.5564738292011019,0.5395513577331759,0.5395513577331759,0.5407319952774499,0.5820543093270366,0.4887839433293979
