granularity_day,holder_class,addresses,token_balance_usd,active_address,balance_tracked,num_month,month_change,total_unique_holders
2024-12-02 00:00:00.000 UTC,Repeat,100951,6.829146218352104e+09,102637,84.1462411291373,40165,-3.370543232449598,315975
2024-12-02 00:00:00.000 UTC,First Time,1686,4.102253744167966e+07,102637,84.1462411291373,40165,-3.370543232449598,315975
2024-11-25 00:00:00.000 UTC,First Time,1305,2.7459757267176443e+08,105224,86.89612420491999,40165,-3.370543232449598,315975
2024-11-25 00:00:00.000 UTC,Repeat,103919,6.151260086520166e+09,105224,86.89612420491999,40165,-3.370543232449598,315975
2024-11-18 00:00:00.000 UTC,First Time,1221,5.495858397740127e+07,106193,86.47376445336344,40165,-3.370543232449598,315975
2024-11-18 00:00:00.000 UTC,Repeat,104972,5.783922264794093e+09,106193,86.47376445336344,40165,-3.370543232449598,315975
2024-11-11 00:00:00.000 UTC,First Time,1550,8.083925955177923e+07,108561,85.28179899849125,40165,-3.370543232449598,315975
2024-11-11 00:00:00.000 UTC,Repeat,107011,6.0972493276880045e+09,108561,85.28179899849125,40165,-3.370543232449598,315975
2024-11-04 00:00:00.000 UTC,First Time,1504,2.499092081022682e+07,107296,87.14358602382676,40165,-3.370543232449598,315975
2024-11-04 00:00:00.000 UTC,Repeat,105792,4.394799830152477e+09,107296,87.14358602382676,40165,-3.370543232449598,315975
2024-10-28 00:00:00.000 UTC,Repeat,107808,4.690079663967806e+09,109866,87.65317499239242,40165,-3.370543232449598,315975
2024-10-28 00:00:00.000 UTC,First Time,2058,8.280110406701209e+07,109866,87.65317499239242,40165,-3.370543232449598,315975
2024-10-21 00:00:00.000 UTC,Repeat,111155,4.757511507051646e+09,112546,88.26447971473813,40165,-3.370543232449598,315975
2024-10-21 00:00:00.000 UTC,First Time,1391,1.3547194490682808e+08,112546,88.26447971473813,40165,-3.370543232449598,315975
2024-10-14 00:00:00.000 UTC,First Time,2007,2.703930911993412e+07,114364,88.45945022228598,40165,-3.370543232449598,315975
2024-10-14 00:00:00.000 UTC,Repeat,112357,4.67655361605567e+09,114364,88.45945022228598,40165,-3.370543232449598,315975
2024-10-07 00:00:00.000 UTC,First Time,1887,4.127240299085515e+07,113813,88.61679408496464,40165,-3.370543232449598,315975
2024-10-07 00:00:00.000 UTC,Repeat,111926,4.276178924726354e+09,113813,88.61679408496464,40165,-3.370543232449598,315975
2024-09-30 00:00:00.000 UTC,Repeat,113283,4.618857180664569e+09,115157,89.13865476677462,40165,-3.370543232449598,315975
2024-09-30 00:00:00.000 UTC,First Time,1874,2.62877767374882e+07,115157,89.13865476677462,40165,-3.370543232449598,315975
